Comentário,notaPositiva,notaNegativa,Sentimento
Parabéns Bolsonaro e Parabéns para a reforma da previdência já 💛💚💙,1,-1,neutro
Claro....vão beber nosso sangue,1,-2,negativo
Já sabe é pra lasca o pobre!,1,-2,negativo
"Adiaram ou Ganharam tempo para vender o voto, quem não votou agora, o valor do seu voto dobra, para apoiar a esta atrocidade que somente irá valer para quem trabalha com carteira assinada, coitado de quem precisar se aposentar  ou requerer um benefício afim de manter sua saúde na idade avançada, coitada da minha geração, que vai sofrer duramente com isso !!!",2,-4,negativo
"Estão amputando um braço de cada brasileiro.  Esta Reforma da Previdência seria algo assim.....Também será o fim da aposentadoria dos mais pobres, sem combater privilégios...A manada está indo cega ao matadouro...Quem está vibrando é a mídia, os banqueiros, o mercado especulativo( Bolsa, dólar), os grandes empresários, militares, juízes, políticos.....A aprovação da Reforma será o maior Toma Lá Dá Cá da República, um Vale -Tudo sem precedentes, caso contrário esta Reforma não passaria no Congresso...",3,-2,positivo
"Igual atingiu com a Reforma Trabalhista, normal...",1,-1,neutro
Parabéns presidente,1,-1,neutro
Está dura a vida de hater do presidente!,1,-4,negativo
"uau.. a bolsa subiu rs... O supermercado, a Energia eletrica, o gás tbm.. e aí???",1,-1,neutro
"O Deus mercado só tem a comemorar, enfim ele não pagará o pato!",1,-2,negativo
"Tomara que passe, senão tem boas chances do país quebrar.",2,-2,neutro
A festa do ricos que estão bebendo o sangue dos pobres,1,-2,negativo
Culpa de quem? Bolsonaro !!! Parabéns Presidente. O Brasil agradece.,1,-2,negativo
Agora vai Bolsonaro 2022,1,-1,neutro
#BolsonaroNossoPresidente 🇧🇷,1,-1,neutro
Coitado do estadinho ainda pensa que é mídia relevante...acha que suas matérias pautam o governo,2,-1,positivo
Otimismo? 🧐,1,-1,neutro
"E daí, pobre não tem nada a ver com sobe/desce da bolsa, a não ser os especuladores !",1,-2,negativo
E os 57 milhões de investidores que votaram na “rainha da Inglaterra” estão eufóricos. 😂😂😂😂,1,-1,neutro
E ainda tem uma corja de pobre achando que vai ganhar algo... Meu pai...,1,-2,negativo
"Se um país vende seus meios de produção a capitais estrangeiros, que logo tomam os lucros e os levam para  seus países de origem;  Se um país submete seus trabalhadores à uma competência internacional para oferecer cada ano mão de obra mais barata; Se um país afunda na armadilha de não autofinanciar seu crescimento, senão de endividar-se no estrangeiro e logo ver-se sitiado por interesses usurários;  Se um país aceita entregar seu mercado interno aos produtores estrangeiros, abrindo suas portas de par em par; Se um país procede assim, o que têm de estranho que caminhe para a ruína?(SALVADOR BORREGO)",3,-2,positivo
"Bora carai, não votei no bolsonaro 😂, mas quero bolsa a 120K#SóVem!",3,-2,positivo
Bolsonaro 2022 o melhor da história...Parabéns mito,2,-1,positivo
Bolsonaro eu te amo..💙,1,-1,neutro
Chupa pessimistas vermelhos!!!,1,-3,negativo
"As corporações (como revela o filme The Corporation) agem como psicopatas. O mercado financeiro é o cassino em que esses especuladores agem. Notem como eles comemoram a desgraça do povão. É essa a mensagem histórica do aumento ou queda das bolsas. Quando a notícia é boa para o povo eles lamentam, quando é ruim para o povo eles comemoram.",2,-3,negativo
Fazendo o que a maldita esquerda não vez. Parabéns Presidente!!,1,-2,negativo
A bolsa não manda e muito menos regula as nossas leis e as nossas vidas a nossa constituição não é um investimento de empresários especuladores,1,-1,neutro
"Que a reforma da previdência é ótima para os empresários leia-se mercado, não temos dúvida. Afinal estão lutando para isso o Bradesco o Itaú todos os deputados do Agro negócio, da bíblia e do caralho para que somente nós assalariados pagarmos o pato!!",1,-3,negativo
"Bolsa são banqueiros , onde a reforma desumana vai matar pessoas e  deixar os banqueiros mais ricos. Entendeu a reforma do Paulo Guedes?",1,-2,negativo
"Pobre, isso não te ajuda em nada",1,-2,negativo
"Se a bolsa sobe, bom para o cidadão médio não é.",2,-1,positivo
"ANOTE os números destes partidos e, nas eleições municipais de 2020, só vote no vereador e no prefeito cujo número comece com 12 (PDT), 13 (PT), 18 (REDE), 40 (PSB), 43 (PV), 50 (PSOL) ou 65 (PCdoB). Estes são os partidos que votarão CONTRA a Reforma da Previdência de Bolsonaro e Rodrigo Maia.É IMPORTANTE ANOTAR PARA NÃO VOTAR ERRADO!",1,-2,negativo
O Estadão petralha defensor de bandidos chora litros de sangue ao dar essa notícia,1,-4,negativo
"Bolsa vai pagar as emendas,cargos,cotão,fundão,auxílios...?",1,-2,negativo
"Bolsonaro um grande traidor , Judas. Comprou o parlamento , e os parlamentares querem aprovar uma reforma desumana , com regras sem piedade dos mais pobres.",3,-3,neutro
Enquanto isso o pobre se ferra.,1,-2,negativo
"Ou seja, isso é péssimo pra quem é pobre.",1,-2,negativo
"É pra isso que esse governo serve, servir aos ricos, dançaram puxa saco da elite, o quê que o povo ganha com isso? Abre os olhos brasileiros burros!",1,-2,negativo
Não tenho dinheiro para comprar minha ração imagina ação.,1,-2,negativo
Eu vou rir dessa gente depois que a reforma for aprovada e continuar ganhando menos do que um salário mínimo - se tiverem trabalhando,2,-1,positivo
Normal https://exame.abril.com.br/mercados/ibovespa-sobe-apos-aprovacao-de-reforma-trabalhista/,1,-1,neutro
"Num país onde o povo desempregado vende a casa que mora para dar o dinheiro ao pastor e elege um asno para presidente, o que é a extinção da aposentadoria?!?!",2,-2,neutro
A bolsa comemora a desgraça  do trabalhador,1,-2,negativo
Só para os ricos.,1,-1,neutro
"Se o Brasil é exportador de commodities, não produz tecnologia, é importador de tecnologias e de produtos manufaturados de alto valor agregado ou produzidos na China, se a bolsa sobe e o dólar cai, nesse momento parece mais uma orquestração, só é bom para os privilegiados da maquina pública e seus bem aposentados marajás para curtir Miami, NY, Paris e Lisboa.",2,-2,neutro
"🇧🇷😃 Os esquerdistas não querem a reforma da previdência porque significa um benefício para o Brasil. Esquerda sendo esquerda! 🤦‍♂️O desespero e descontentamento dos opositores, críticos e incrédulos não é o Brasil piorar, é justamente o contrário. 🤷‍♂️",3,-3,neutro
Estão comemorando o futuro aumento dos pagamentos dos juros da dívida !!!,1,-2,negativo
"CONTRA A ESQUERDA, o mundo todo !",1,-2,negativo
https://youtu.be/erJjCb-wPeI,1,-1,neutro
"Reforma empresarialista, assim como foi a reforma trabalhista.",1,-1,neutro
https://www.infomoney.com.br/mercados/acoes-e-indices/noticia/6787165/como-reforma-trabalhista-afetara-economia-bolsa-cambio,1,-1,neutro
"Enquanto as bombas atômicas dos áudios viram traques, a bolsa explote de otimismo.",1,-2,negativo
A bolsa tbm subiu cm a aprovação da reforma trabalhista que prometia mais empregos. Resultado: estamos na mesma.,1,-1,neutro
"Bolsa subiu também com a Reforma Trabalhista. Resultado:-Criou-se o intermitente (sujeito ganha menos do que salário mínimo). Esse dificilmente vai se aposentar e receber um bpc)- terceirização irrestrita. Trabalho duro sem local fixo de sem subir na empresa. - mulheres gravidas em condição de insalubridade (teve q a justiça suspender)- direitos trabalhista quaisquer podem ser revogados por acordo (que tem o patrão mais força - ou então e demitido), também terá dificuldades de se aposentar.",3,-2,positivo
"Se você ficou rico com ações diga amém, senão dê adeus para sua aposentadoria e tranquilidade na velhice. 🙂",2,-2,neutro
É Bolsonaro,1,-1,neutro
Tudo blefe. Não tem voto mas estão comprando os deputados. Vergonhosa e cínica atitude.,1,-3,negativo
Legal ver a pobraiada gado comemorando a vitória dos ricos.,2,-2,neutro
"Vai comecar a liquidacao geral do Brasil minha gente! Você que tem dinheiro e votou no mito aproveite essa oportunidade para aumentar seu capital, quanto a você que nao tem dinheiro e mesmo assim ainda votou nele (no mito) vai ficar com menos ainda e vai ter que gritar muito ""Amém, Aleluia!"" para conseguir pagar as contas. Para o rico, boa sorte, para vc que é lascado, fo**-se (nao sou eu que estou desejando isso para ninguém, isso será só a consequência de suas escolhas).",2,-4,negativo
"Parabens aos milionarios acionistas na Bovespa. A outra parte, os pobres, a plebe rude passará o pao que o diabo amassou com a malfadada reforma. Vc é mionario? Comenore! É classe-média, é pobre? Chore, proteste!",1,-4,negativo
Top. Minhas ações na bolsa renderam bilhões em lucro. Maravilha.,4,-1,positivo
Giammario Fortunati Filho,1,-1,neutro
Estão iguais urubus esperando pra sugarem nosso suor.,2,-2,neutro
Aí os pobres de direita alienados comemoram kkkkk,2,-2,neutro
IMAGINA QUANDO FOR APROVADA 🇧🇷 #bolsonaro2022,1,-1,neutro
Parabéns Bolsonaro- pos os vagabundos atrabalhar,1,-2,negativo
"E isso gerou uma quantidade enorme de zero emprego, e zero aumento na renda do trabalhador",1,-1,neutro
#naoareformadaprevidencia #reformanão,1,-1,neutro
"Câmara Federal, 10/07/2019 : Olhem só a felicidade no semblante de cada ""bocós"" no plenário da Câmara Federal... com certeza rola aquele costumeiro ti..ti..ti, no pé de ouvido em referência ao POVO... os mais 'velhos de casa', dizendo aos 'mais novos' : ""Não falamos pra vocês, calma..calma, o POVO é IDIOTA e IGNORANTE..úteis. Amanhã eles já esqueceram dessa votação, só se lembrarão quando morrendo, os filhos e netos reclamando...poxa vida, o papai (vovô) morreu e não se aposentou, agora temos que CUIDAR da vovó""... e triste...hein ?",3,-3,neutro
"Oba agora vai pipocar emprego, o povo vai poder escolher , salários justos.  Educação  , saúde  melhorar. E economia bombar",2,-2,neutro
Enquanto isso os trabalhadores mais humildes devem estar em oração pra não perder suas APOSENTADORIAS!!!MISERICÓRDIA Senhor 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,1,-2,negativo
"Se tivesse tanto empresário no país como tem gente feliz com isso, não teríamos que depender de especulações para prosperar.",2,-2,neutro
Plenário ou circo dos Horrores ?,1,-1,neutro
o pobre aplaude,1,-2,negativo
"Não sou acionista e nem especulador,por isso não me entersso.",1,-1,neutro
Esta máfia da bolsa de valores só serve e favorece Banqueiros internacionais pra fuder os outros quando querem ganhar jogam as ações de determinadas empresas ou estatal lá em baixo pra comprar ou quando favorecer mais o lado deles jogam lá em cima  RESUMINDO MÁFIA  .,3,-2,positivo
Lembrando  90% dos  BRASILEIROS  NÃO  GANHA NADA COM ISSO,1,-1,neutro
Mais dinheiro para quem tem mais.....povo perdendo com isso...😪😪🇧🇷,1,-1,neutro
Acho hilário o pobre de direita comemorando isso.,3,-2,positivo
Os vazamentos provam: https://bit.ly/2xjBDog,1,-2,negativo
"Lembram daqueles idiotas, na escola,  que colocavam a mão entre dois brigões,  e falavam: ""quem for homem cospe na minha mão"", para tirar a mão e um cuspir no outro, para atiçar a briga? Esses idiotas trabalham  na grande mídia hoje!",3,-3,neutro
Abutres!,1,-3,negativo
Parabéns Senhor Presidente acabar com os privilégios desse povo chega a madeira no lombo.MITO MITO MITO MITO MITO😂😂😂😂😂😂🔫🔫🔫🔫🔫,2,-1,positivo
"vc aposta na bolsa, pobre de direita?",1,-2,negativo
Reforma necessaria..sem.ela pais acaba de quebrar.tdo.pelo.erro de gov.passados.,1,-1,neutro
"ATENÇÃO !  Eles estão REDUZINDO o valor da sua futura aposentadoria, contribuinte normal ! Eles também estão prejudicando aqueles de  renda mais baixa ! Não acreditem na propaganda enganosa da ""grande imprensa"", pois eles, como sempre, estão defendendo os interesses dos seus anunciantes, dentre eles  o próprio Governo Federal ! PRESSIONE o seu Deputado ! Essa Reforma, como está, NÃO pode passar, senão teremos, no futuro, uma multidão de idosos em situação de extrema pobreza !",3,-2,positivo
Quanto $$$$ isso custará aos cofres públicos ???,1,-1,neutro
Tô cagando e andando pra bolsa,1,-1,neutro
"Apesar de tudo e todos, o Brasil vai avançar. A turma da bandeira vermelha vai ficar lá pra trás, comendo poeira. VIVA BOLSONARO !",2,-4,negativo
E o pobre está achando bom.,2,-2,neutro
Antes do crack de 1929 a bolsa também estava no auge.,1,-1,neutro
Os ricos enriquecem ainda mais e o restante ...,1,-1,neutro
"Os milionário com ações na bolsa está indo ao delírio, já o pobre vai  se ferrar de verde e amarelo",2,-2,neutro
"Que beleza,  a maioria da população  brasileira  investe  na bolsa né? 🤭",3,-1,positivo
É a reforma chegando e o dinheiro prestes a sair por causa do fundo eleitoral. Querem aumentar de 1bi pra 3bi. Saiu agora no noticiário.,3,-2,positivo
Só obrigado os bolsominions comemorando sem ter um centavo n bolsa kkkkkkk,2,-2,neutro
"SE O BRASIL ESTÁ EM CRISE??? VAI QUEBRAR SE NÃO APROVAR A REFORMA DA PREVIDÊNCIA??? NÃO TEM DINHEIRO PRA PAGAR ISSO E AQUILO??? PORQUE ENTÃO QUE ESSES POLÍTICOS AINDA CONTINUAM AQUI NO BRASIL E JÁ NÃO CORRERAM DAQUI PRA OUTRO PAÍS???QUANDO SERÁ QUE O POVO BRASILEIRO VAI ACORDAR DE VEZ??? SAIR DA MATRIX??? O BRASIL NÃO ESTÁ QUEBRADO, INCLUSIVE É UM PAÍS RIQUÍSSIMO. PORQUE QUE NÃO SE FALA DO NIÓBIO?!?! O QUE ADIANTA FAZER UMA REFORMA DA PREVIDÊNCIA E NÃO FAZER PRIMEIRO UMA REFORMA POLÍTICA, TRIBUTÁRIA??? E O STF FAZER LICITAÇÃO PARA A COMPRA DE LAGOSTAS, VINHOS E ETC....PORQUE QUE NÃO SE COBRA AS DIVIDAS MILHONÁRIAS DAS EMPRESAS QUE ESTÃO DEVENDO A PREVIDÊNCIA?!?!? ESSA POLÍTICA É UMA MENTIRA!!! QUÊ ACABAR COM TUDO ISSO??? NÃO DÊEM LEGÍTIMIDADE PARA ELES, NÃO SAIAM DE SUAS CASAS PARA IR VOTAR!!! PAREM DE ADOTAR OS SEUS GURUS POLÍTICOS. ENQUANTO O PAIS CONTINUAR DIVIDIDO E O POVO NÃO SE UNIREM, NADA MUDARÁ!!! MAIS UMA VEZ, O BRASIL NÃO ESTÁ QUEBRADO, DINHEIRO TEM!!!PROCUREM SE INFORMAREM, VÃO ATRÁS DE CONHECIMENTO, COISA QUE INFELIZMENTE O POVO BRASILEIRO NÃO FAZ! NÃO ACREDITEM EM TUDO O QUE ESSA MÍDIA CORRUPTA FALA, QUE PRESTAM UM PÉSSIMO SERVIÇO AO PAIS, SÓ QUEREM TOCAR O TERROR E CAUSAR O CAOS NA POPULAÇÃO. O VERDADEIRO PROBLEMA DO BRASIL É O POVO BRASILEIRO!!! SE QUEREMOS MUDAR ALGUMA COISA NESTE PAÍS, TEMOS QUE MUDAR PRIMEIRO A NOSSA CULTURA!!!",3,-3,neutro
Quanta gente q contra a reforma e nao quer perder privilegios. Podem chorar que oq e de vcs esta guardado.,1,-4,negativo
"Graças a Deus, e o terrivelmente Bozo, ninguém mais acredita na bocarra dessa Presidnete. O Congresso assumiu seu verdadeiro trabalho.",2,-1,positivo
"O PAÍS DA DESIGUALDADE. TEMOS CIDADÃO DE 1ª, CIDADÃO DE 2ª E CIDADÃO DE 3ª. NESSA REFORMA QUEM PAGOU O PATO FOI O CIDADÃO DE 3ª. EMBORA, A CONSTITUIÇÃO DIGA QUE TODOS SÃO IGUAIS PERANTE A LEI. CIDADÃO DE 3ª GRAVE O NOME DO DEPUTADO QUE VOTOU A FAVOR, PARA NÃO VOTAR NELE NA PRÓXIMA ELEIÇÃO.",2,-2,neutro
Up Parabéns Rodrigo Maia  ....,1,-1,neutro
"Parabéns, vamos morrer trabalhando pra rico poder comprar mais iates.",1,-1,neutro
"Será que o pobre de direita já entendeu que ""a bolsa subir"" não significa que o salário vai subir?",1,-2,negativo
Parabéns presidente,1,-1,neutro
"A reforma da previdência preserva os privilégios e regalias como Paridade, dos funcionários públicos e políticos. O congresso se vendeu às corporações e manteve a escrecência e bossal diferença entre a aposentadoria do setor privado em relação ao setor público.",2,-1,positivo
O pobre de direita nesse momento está milionário com essa especulação.,1,-2,negativo
Fabiano Aquino,1,-1,neutro
KKKKKKKKKKKK AIIII QUE MENTIRAAAA KKKKKKLKK OS INVESTIDORES  FOICEEEE SEM MERCADO CONSUMIDOR INTERNO KKKKKKKKKKKKK,2,-1,positivo
RICO NÃO COMPRA NO BRASIL KKKKKKKKK VAI PRA MIAMIKKKKKKKKKKK,2,-1,positivo
Só dois tipos de pessoas são a favor das reformas trabalhista e previdenciária: patrão ou idiota. Você é patrão?,2,-2,neutro
"A VERDADE TEM QUE SER DITA.OS RICOS CADA VEZ MAIS RICOS, E OS POBRES CADA VEZ MAIS POBRES.",2,-2,neutro
"É muito fácil de resolver o problema de recursos da previdência social federal, estadual e municipal.Quem receber acima do teto da aposentadoria normal, sem excessões, vai ter que pagar um imposto de 100% acima deste valor a partir de agosto de 2019 e não vai poder acumular aposentadorias.Só terão direito à aposentadoria especial quem trabalhar em atividades e ambientes insalubres, nocivos, perigosos e penosos e contribuir com 15, 20, 25 e 30 anos conforme definido na constituição, Decreto 3.048, Lei 8.213, NR 15, IN 77, etc.Nenhum político, juiz, desembargador, policial, assessor, militar ou servidor terá qualquer auxílio que possa pagar com seu salário. Ou seja um destes que receba salário mensal de R$ 25000,00 ou mais não terá auxílio terno, carro funcional, apartamento funcional, mansão, palácio, auxilio mudança, auxilio telefone, etc..",3,-2,positivo
"Nivelar todos os salários dos políticos aposentados pelo teto do INSS, JÁ foi um grande avanço para o Brasil.Existem outras categorias de trabalhadores que se enquadram sob o teto do INSS.",3,-2,positivo
Bolsonaro neles já,1,-1,neutro
O.mercado quando comemora no 3 mundo e como urubu que do acha carniça. Já está morto,1,-4,negativo
"Barateiam a mão de obra, privatizam as expectativas previdenciárias... é claro que a bolsa sobe. O mercado vibra. O trabalhador paga a conta.",2,-2,neutro
E nois vamos brasil,1,-1,neutro
É claro que a bolsa sobe.Infelizmente vamos pagar essa conta.,2,-2,neutro
"Sou Bolsonaro sim.. Porém sempre luto pelo meu Brasil que é o mesmo que por todo o povo brasileiro inclusive eu!!! A reforma à previdência só não tem meu apoio total por um motivo único!!! Ela não está sendo verdadeira, pois políticos tem que zerar todos os tipos ou caminhos de benefícios que não são dados aos trabalhadores no geral... Com tanto benefícios impostos por eles mesmos os favorecendo... podem com o salário exorbitante que eles se propuseram receber, sem aval do povo assim como sem aval também se beneficiaram de todos benefícios que recebem além do salário ao qual, abrem condições as quais o povo não as tem... De pagarem à previdência a quantia que os proporcionam a receberem injustamente... Uma aposentadoria a qual me dá ânsia de vômito por tanto descaradamento sobre mim, sobre o povo, sobre a econômia, sobre o país!!! O povo deveria sim fazerem uma enorme manifestação contra os benefícios e salários políticos!!! Somente isso, sem misturarmos com nada mais!!! AJUSTES DE GANHO SALARIAL SEM BENEFÍCIOS AO POLITICOS!!!",2,-3,negativo
O que muda na vida  do  cidadão comum? Nada.,1,-2,negativo
A mesma coisa aconteceu na reforma trabalhista. E tem gente que acredita nesse circo armado.,1,-1,neutro
"É claro que essa falação toda só vai beneficiar os ricos, os poderosos, nós que somos trabalhadores, ficaremos na pior!  Ainda tem professor, servidor público aplaudindo. É muita alienação meu Deus!",3,-3,neutro
Grande dia 😎👉🇧🇷🙏 o choro é livre,3,-4,negativo
Quanto funcionário público no mimimi kkkkk,2,-1,positivo
"Quem trabalha no mercado financeiro ta pouco se lixando pro trabalhador. So querem saber do ""pote de ouro"" que o Paulo Guedes ta vendendo como sonho econômico às custas do suor de quem ta na base da pirâmide social.",3,-2,positivo
"-Gasto anual da previdência: R$767 bi.-Deste total, R$23 bi (3%) vão para os 20% mais pobres.-Já para os 20% mais ricos, são R$314 bi (41%).A previdência atual é uma máquina de privilégios e distribuição de renda dos mais pobres para os mais ricos.",2,-3,negativo
Só quero ver a cara desses caras que vão votar a favor da reforma em 2022.,3,-3,neutro
"A Reforma da Previdência é muito ruim para o Brasil, mimimi esquerdista! Kkkkkkk",2,-2,neutro
Sempre tenho a sensação de que quando dizem que o mercado tá eufórico é porque o brasileiro vai se ferrar mais,1,-2,negativo
O pobre se fuder é um indicador de alta do caralho pra bolsa.,1,-3,negativo
Chupa PTezada!!!!,1,-2,negativo
Alta da bolsa de valores não significa riqueza e prosperidade para o povo brasileiro... eu por exemplo não tenho ações na bolsa pois tenho que sustentar minha família.... fica a dica...,2,-1,positivo
Os empresários  rentistas do Brasil agradecem e os pobres entristecerão. Uma grande covardia e que Deus ampare aqueles que precisarem.,3,-4,negativo
#deltannapgr#somostodosmoro,1,-1,neutro
E daí...,1,-1,neutro
Otimismo dos fdps! Adianta ter carro e não poder andar com ele? Vc ter coisas caras enquanto muitas pessoas passam fome. As calçadas voltaram a ficar cheias de pessoas que não tem onde morar. Outros estão porque economizam e so voltam para casa no fim de semana. E ainda tem gente que quer que eles resolvam o problema saindo pra onde? Vcs estào levando esse pais para uma guerra civil! Ainda mais com esse louco querendo levar sua comissão dos fabricantes de armas. Eu sinto muito pelo Brasil! Meus pesâmes! Gente egoísta não esqueçam da história sobre o rei midas!  Ou agora será rei merdas?😂,3,-4,negativo
Vejamos até onde vai essa euforia... Eu não tenho nada pra comemorar... sei o meu lugar na sociedade e consciência da merda de futuro previdenciário que me espera.,2,-2,neutro
"Essa reforma é anulável, por não respeitar o devido processo legal, rasgaram a constituição federal, uma falta de respeito com o povo brasileiro.🤮🤮🤮🤮",3,-2,positivo
"Parabens a todos os acionistas daqui,parabéns ao Guedes cada dia mais rico!🙏🙏🤦‍♀️🤦‍♀️",1,-1,neutro
"Quero ver quando essa bolha estourar, principalmente com uma galera que entrou na onda otimista sem saber onde tava se metendo.",3,-2,positivo
106.00 pontos do mercado e 13 milhões de desempregados. Capital especulativo wins,1,-2,negativo
Mais dinheiro para quem já tem. Milhões de clientes gerados da noite para o dia! Isenção total de interesses!!!!!,1,-1,neutro
Parabéns aos eleitores pobres envolvidos... SIFU! Mas pelo menos foi de verde e amarelo.,2,-2,neutro
Minhas ações na bolsa tão rendendo um montão kkkk,2,-1,positivo
Bolsa batendo recordes por conta da reforma da Previdência pois sabem que os banqueiros irão lucrar horrores com os seguros de previdenciários. ..Aí aparece um monte de pobre assalariado comemorando. Ho Brasil pra ter povo ignorante ...,3,-3,neutro
"Aí trouxa, você que defende a reforma da previdência, olha quem vai ficar mais rico.",1,-1,neutro
"A reforma da previdência vai ter sua conta paga pelos trabalhadores já que estados, municípios, militares ficaram de fora e as mulheres que ficarem viúvas não receberam mais benefícios mas  sim uma esmola e os políticos não tiveram nenhuma modificação em suas aposentadorias e tem pobre trabalhador dando parabéns ao governo.",2,-2,neutro
Lembrem de quem foi contra o Brasil. Não votem nos vermelhos mais,1,-2,negativo
"Esta reforma da Previdência que aí está é oriunda desde o governo FHC, que ficou oito anos para fazer esta da Previdência, a Tributária e a Política. Oito anos e não fez!!! Lula também ficou oito anos e não fez! Dilma e Temer, da mesma forma, não conseguiram. As alegações foram amplamente divulgadas. Bolsonaro assumiu e em seis meses está tendo sucesso. infelizmente, lamento que a ideia de nivelar os parâmetros não está sendo implantada. A aposentadoria especial dos parlamentares ainda está intocável, imexivel!!!E ela também vai ter sua conta paga pelos trabalhadores junto com a dos estados, municípios e militares, que ficaram de fora.E as mulheres que ficarem viúvas não receberão mais os seus benefícios mas, sim, uma risível esmola. Reafirmo que os políticos não tiveram nenhuma modificação em suas aposentadorias!!!E a mídia nada fala, num estrondoso silêncio de cumplicidade.E tem pobre trabalhador dando parabéns ao governo....",3,-4,negativo
Antes do crack de 1929 foi assim também.,1,-1,neutro
"""Especialistas""",1,-1,neutro
REFORMA DA PREVIDÊNCIA NÃO,1,-1,neutro
Especialistas não entendem merda nenhuma,1,-2,negativo
I  num  e  q  a  bruxa  acertou  ?,1,-2,negativo
Amém viva Bolsonaro melhor presidente do Brasil,2,-1,positivo
"Eu pensava que todo esquerdista era desprovido de inteligência, hoje Tabata Amaral mostrou que uma minoria ainda pensa!! Parabéns deputada!!",2,-2,neutro
"""Especialistas"" kkkkkkkk :D",2,-1,positivo
"Com tanto dinheiro, os votos dispararam.",1,-2,negativo
"Com Bolsolao, os deputados votaram pelo dinheiro!",1,-1,neutro
Ah esses especialistas...,1,-1,neutro
"Tem pessoas que reclama do tempo de aposentaria imposta pela nova reforma, mas depois que se aponsenta continua trabalhando.",1,-2,negativo
Moro 2022,1,-1,neutro
Grande dia! É a nova era petista safado.,3,-1,positivo
Mais uma vez os PETISTAS perderam 👏🙏,1,-1,neutro
Quando a água bate na bunda até os políticos se mexem. Kkkkkkkkkkkkkkk,2,-2,neutro
especialistas? de gabinetes,1,-1,neutro
Bom achei que não conseguieia,2,-1,positivo
Surpresa pq? Entrou $$$$ do #Bolsolão,1,-1,neutro
Dinheiro mesmo.,1,-1,neutro
"""especialista"" engraçado e que desde que Bolsonaro lançou sua campanha eles não acertaram mais nenhuma!!",1,-2,negativo
Esses especialistas que não sabem de nada 😂😂😂😂,1,-1,neutro
Brasil 🇧🇷,1,-1,neutro
"Bilhões liberados surpreende mesmo,duro a pessoa acreditar em crise...",1,-2,negativo
Como vivem ? Onde vivem ? De onde são? O que fazem ? Hoje no globo Repórter os Especialistas. 😂😂😂😂😂😂,1,-1,neutro
Mais uma vez a prova que esses especialistas não sabem bosta nenhuma,1,-2,negativo
"Bolsonaro comprou o congresso, que vergonha hein""mito"".",1,-3,negativo
Ai estão os 400 ladrões do Brasil...,1,-2,negativo
O Globo: Reforma da Previdência: pensão por morte não será mais no valor integral. Entenda as mudanças - https://oglobo.globo.com/economia/reforma-da-previdencia-pensao-por-morte-nao-sera-mais-no-valor-integral-entenda-as-mudancas-23796743?utm_source=Whatsapp&utm_medium=Social&utm_campaign=compartilhar,2,-4,negativo
Grande dia 👍,3,-1,positivo
$$$$$$$$$$$$$ amém  mudou o sentido agora evangélico  é  terrivel $$$$$$$$$$$ .Esperamos  um resultado  igual reforma  trabalhista.,1,-2,negativo
Com a globo merda sendo comprada juntamente com os deputados...,1,-2,negativo
Com 2 bilhões fica fácil.kkk,1,-1,neutro
"Brasil é o país com o maior número de especialistas em m. nenhuma, dizem especialistas",1,-1,neutro
"Surpreende um total de zero pessoas... ""Especialistas""...",1,-1,neutro
